Cve_Ent,Cve_Mun,Value
1,1,350
1,2,272
1,3,540
1,4,854
1,5,153
1,6,139
1,7,342
1,8,930
1,9,135
1,10,305
1,11,802
2,1,239
2,2,59
2,3,275
2,4,271
2,5,48
2,6,242
2,7,207
3,1,29
3,2,584
3,3,334
3,8,615
3,9,212
4,1,627
4,2,448
4,3,606
4,4,773
4,5,887
4,6,536
4,7,811
4,8,238
4,9,79
4,10,937
4,11,559
4,12,602
4,13,296
5,1,497
5,2,750
5,3,343
5,4,236
5,5,243
5,6,378
5,7,815
5,8,767
5,9,47
5,10,785
5,11,229
5,12,845
5,13,234
5,14,584
5,15,341
5,16,701
5,17,766
5,18,901
5,19,275
5,20,94
5,21,904
5,22,191
5,23,661
5,24,955
5,25,962
5,26,523
5,27,950
5,28,809
5,29,770
5,30,733
5,31,81
5,32,284
5,33,507
5,34,88
5,35,97
5,36,278
5,37,207
5,38,898
6,1,592
6,2,705
6,3,48
6,4,708
6,5,734
6,6,216
6,7,680
6,8,73
6,9,958
6,10,289
7,1,993
7,2,983
7,3,959
7,4,334
7,5,628
7,6,223
7,7,359
7,8,218
7,9,358
7,10,97
7,11,37
7,12,924
7,13,805
7,14,363
7,15,730
7,16,221
7,17,309
7,18,445
7,19,61
7,20,559
7,21,847
7,22,221
7,23,689
7,24,319
7,25,701
7,26,464
7,27,534
7,28,223
7,29,391
7,30,319
7,31,115
7,32,394
7,33,718
7,34,918
7,35,790
7,36,665
7,37,690
7,38,326
7,39,457
7,40,830
7,41,484
7,42,301
7,43,901
7,44,634
7,45,234
7,46,227
7,47,622
7,48,663
7,49,668
7,50,490
7,51,118
7,52,163
7,53,665
7,54,76
7,55,838
7,56,879
7,57,549
7,58,409
7,59,543
7,60,689
7,61,276
7,62,515
7,63,202
7,64,911
7,65,480
7,66,961
7,67,40
7,68,39
7,69,310
7,70,548
7,71,534
7,72,280
7,73,381
7,74,420
7,75,720
7,76,42
7,77,129
7,78,397
7,79,828
7,80,637
7,81,754
7,82,378
7,83,448
7,84,94
7,85,740
7,86,218
7,87,829
7,88,492
7,89,11
7,90,455
7,91,633
7,92,500
7,93,665
7,94,474
7,96,39
7,97,823
7,98,881
7,99,24
7,100,210
7,101,691
7,102,299
7,103,228
7,104,699
7,105,740
7,106,671
7,107,139
7,108,481
7,109,936
7,110,703
7,111,988
7,112,224
7,113,245
7,114,267
7,115,261
7,116,569
7,117,871
7,118,758
7,119,82
7,120,115
7,121,112
7,122,223
7,123,74
7,124,772
7,125,488
8,1,15
8,2,395
8,3,555
8,4,506
8,5,502
8,6,289
8,7,421
8,8,41
8,9,485
8,10,273
8,11,647
8,12,590
8,13,772
8,14,351
8,15,444
8,16,613
8,17,643
8,18,171
8,19,695
8,20,643
8,21,78
8,22,486
8,23,778
8,24,839
8,25,128
8,26,65
8,27,265
8,28,653
8,29,755
8,30,236
8,31,258
8,32,304
8,33,756
8,34,474
8,35,474
8,36,897
8,37,613
8,38,374
8,39,562
8,40,369
8,41,682
8,42,87
8,43,323
8,44,133
8,45,49
8,46,710
8,47,693
8,48,446
8,49,721
8,50,572
8,51,853
8,52,353
8,53,505
8,54,644
8,55,883
8,56,216
8,57,197
8,58,473
8,59,853
8,60,838
8,61,968
8,62,820
8,63,434
8,64,949
8,65,239
8,66,782
8,67,452
9,2,771
9,3,237
9,4,651
9,5,933
9,6,200
9,7,856
9,8,547
9,9,932
9,10,547
9,11,208
9,12,834
9,13,202
9,14,854
9,15,348
9,16,704
9,17,947
10,1,440
10,2,542
10,3,372
10,4,824
10,5,296
10,6,716
10,7,81
10,8,251
10,9,99
10,10,868
10,11,964
10,12,946
10,13,785
10,14,144
10,15,757
